Name,Other Names,Environment,Distance,M_V,<mu_V>_e,Stellar mass,R_e,b/a,V_r,V_r_up,V_r_down,stellar_sigma,stellar_sigma_up,stellar_sigma_down,GC_sigma,GC_sigma_up,GC_sigma_down,N_gc,N_gc_up,N_gc_down,Mass_weighted_age,Mass_weighted_age_up,Mass_weighted_age_down,Mass_weighted_metallicity [Z/H],Mass_weighted_metallicity [Z/H]_up,Mass_weighted_metallicity [Z/H]_down,[Alpha/Fe],[Alpha/Fe]_up,[Alpha/Fe]_down,References
Andromeda XIX,LEDA 5056919,2,0.93,-10,31,0.016,3.1,0.42,-109,1.6,1.6,7.8,1.7,1.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"Martin2016, Collins2020, Gannon2021"
Antlia II,,2,0.132,-9.03,31.9,0.0088,2.9,0.62,290.7,1.5,1.5,5.71,1.08,1.08,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, "mcconnachie2012, torrealba2019"
DF 44,"Dragonfly 44, Yagi011",1,100,-16.2,25.7,3,4.7,0.69,6234,-999,-999,33,3,3,-999,-999,-999,74,18,18,10.23,1.5,1.5,-1.33,0.05,0.04,-0.10,0.06,0.06, "vanDokkum2016, vanDokkum2017, vanDokkum2019b, Gannon2021, Villaume2022, Webb2022, Saifollahi2022"
DF07,"Yagi680",1,100,-16.2,25.6,4.35,4.3,0.76,6600,40,26,-999,-999,-999,-999,-999,-999,23,7,7 ,11.18,1.27,1.27,-0.78,0.18,0.18,0.6,0.4,0.4, "vanDokkum2015, Gu2018, Lim2018, Saifollahi2022, FerreMateu2023"
DF17,"Yagi165",1,100,-15.3,25.49,2.63,4.4,0.71,8315,43,43,-999,-999,-999,-999,-999,-999,27,4,4,9.11,2,2,-0.83,0.56,0.51,-999,-999,-999, "Peng2016, Beasley2016b, vanDokkum2017, Gu2018, Saifollahi2022"
DF26,"Yagi093; GMP2748",1,100,-15.64,25.22,3.05,3.5,0.62,6611,137,137,-999,-999,-999,-999,-999,-999,20,20.7,20.7,7.88,1.76,1.76,-0.56,0.18,0.18,0.38,0.17,0.17, "Yagi2016, Alabi2018, Lim2018, FerreMateu2018"
DFX1,"Yagi013; GMP2175",1,100,-15.8,25.5,3.4,3.5,0.62,8107,-999,-999,30,7,7,-999,-999,-999,62,17,17,8.84,1.13,1.13,-1.08,0.21,0.21,0.57,0.4,0.4, "vanDokkum2017, Gannon2021, Saifollahi2022, FerreMateu2023"
DGSAT-I,,3,78,-16.3,25.6,4,4.7,0.87,5439,8,8,56,10,10,-999,-999,-999,12,2,2,8.1,0.4,0.4,-1.8,0.4,0.4,1.5,0.5,0.5, "MartinezDelgado2016, MartinNavarro2019, Janssens2022"
Hydra-I UDG 11, ,1, 51, -14.62, 25.04, 0.63, 1.66,0.92, 3507, 3, 3, 20, 8, 8, -999, -999, -999, 7, 3, 3, 10, 1, 1, -1.2, 0.1, 0.1, -999, -999, -999, "Iodice2020, Iodice2023"
J130026.26+272735.2,GMP 2673,1,100,-16.27,24.83,1.57,3.7,-999,6939,2,2,19,5,5,-999,-999,-999,-999,-999,-999,1.5,0.1,0.1,-1.04,0.11,0.11,-999,-999,-999, "Chilingarian2019"
NGC 1052-DF2,"RCP 29; [KKS2000] 04; LEDA 3097693; Ta21-12200",2,21.7,-15.3,24.8,2,2.2, 0.85,1805,1.1,1.1,8.5,2.3,3.1,7.8,5.2,2.2,7.1,7.33,4.34,8.9,1.5,1.5,-1.07,0.12,0.12,0,0.05,0.05, "vanDokkum2018, Fensch2019, Danieli2019, Shen2021, Shen2023"
NGC 5846_UDG1,"MATLAS2019; NGC 5846-156",2,26.5,-15,25.2,1.1,2.14,0.9,2167,2,2,17,2,2,9.4,7,5.4,54,9,9,8.2,3.05,3.05,-1.15,0.25,0.25,0.54,0.18,0.18, "Forbes2019, Muller2020, Muller2021, Forbes2021, Danieli2022, FerreMateu2023"
NGVSUDG-19,,1,16.5,-13.8,26.37,0.62,2.18,-999,296,37,38,-999,-999,-999,61,47,23,16.8,7.5,7.5,-999,-999,-999,-999,-999,-999,-999,-999,-999, "Lim2020, Toloba2023"
NGVSUDG-20,,1,16.5,-13.2,27.94,0.13,3.48,-999,946,42,41,-999,-999,-999,89,42,27,11.3,8.6,8.6,-999,-999,-999,-999,-999,-999,-999,-999,-999, "Lim2020, Toloba2023"
PUDG_R15,,1,75,-15.65,24.83,2.59,2.5,0.97,4762,2,2,10,4,4,-999,-999,-999,-999,-999,-999,11.32,2.52,2.52,-0.93,0.32,0.32,0.44,0.2,0.2, "Gannon2022, FerreMateu2023"
PUDG_R16,,1,75,-15.9,25.4,5.75,4.2,0.7,4679,2,2,12,3,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999, "Gannon2022"
PUDG_R84,,1,75,-15.4,24.68,2.2,2,0.97,4039,2,2,19,3,3,-999,-999,-999,-999,-999,-999,8.99,3.2,3.2,-1.48,0.46,0.46,0.22,0.3,0.3, "Gannon2022, FerreMateu2023"
PUDG_S74,,1,75,-16.49,24.82,7.85,3.8,0.86,6215,2,2,22,2,2,-999,-999,-999,-999,-999,-999,8.44,2.26,2.26,-0.4,0.22,0.22,0.32,0.11,0.11, "Gannon2022, FerreMateu2023"
